Name,Category,Reinforcement,Damage,Damage Reduction,Aux Effects,Stat Requirements,Stat Bonuses,Critical,Weight,Stability,Durability,Sell Price,Spell Buff,Range,Buffable,Infusable
Valorheart,Straight Swords,Unique,120/0/0/0/0,60/40/35/30/35,0/0/0,12/12/0/0,D/D/-/-,100,5.5,50,70,500,N/A,N/A,No,No
Follower Sabre,Curved Swords,Regular,108/0/0/0/0,45/30/25/25/30,0/0/0,9/14/0/0,D/D/-/-,100,4.0,30,70,100,N/A,N/A,Yes,Yes
Torch,Torches,Regular,35/0/80/0/0,30/20/15/15/20,0/0/0,5/0/0/0,D/-/-/-,100,1.0,17,45,50,N/A,N/A,No,No
Dragon Tooth,Great Hammers,Boss,188/0/0/0/0,60/45/40/40/45,0/0/0,40/0/0/0,C/-/-/-,100,21.0,45,340,500,N/A,N/A,Yes,No
Cathedral Knight Greatshield,Greatshields,Regular,112/0/0/0/100,100/63/60/54/83,0/0/0,32/0/0/0,D/-/-/-,100,15.5,67,150,300,N/A,N/A,Yes,No
Archdeacon's Great Staff,Staves,Unique,89/0/0/0/0,25/25/10/10/15,0/0/0,8/0/12/12,D/-/-/A,100,2.5,15,55,1000,241,N/A,No,No
Heavy Crossbow,Crossbows,Bow,72/0/0/0/0,0/0/0/0/0,0/0/0,14/8/0/0,-/-/-/-,100,4.5,0,55,100,N/A,50,No,No
Carthus Curved Greatsword,Curved Greatswords,Regular,125/0/0/0/0,50/40/35/35/40,0/36/0,18/22/0/0,D/C/-/-,100,10.5,40,85,150,N/A,N/A,Yes,Yes
Spotted Whip,Whips,Regular,102/0/0/0/0,25/15/10/10/15,36/0/0,9/20/0/0,-/D/-/-,100,2.5,10,50,400,N/A,N/A,Yes,No
Witchtree Branch,Staves,Spell Tool,57/0/0/0/0,25/20/10/10/15,0/0/0,7/0/18/0,E/-/C/-,100,2.0,10,40,100,184,N/A,No,No
Mendicant's Staff,Staves,Spell Tool,60/0/0/0/0,25/25/10/10/15,0/0/0,7/0/18/0,D/-/B/-,100,2.5,10,55,200,208,N/A,No,No
Lothric Knight Shield,Normal Shields,Regular,83/0/0/0/0,100/59/53/87/51,0/0/0,18/0/0/0,D/-/-/-,100,6.0,54,75,350,N/A,N/A,Yes,Yes
Yhorm's Greatshield,Greatshields,Boss,132/0/0/0/0,100/74/76/63/73,0/0/0,40/0/0/0,D/-/-/-,100,20.5,73,205,1000,N/A,N/A,No,No
Wolf Knight's Greatshield,Greatshields,Unique,124/0/0/0/0,100/68/65/52/68,0/0/0,30/0/0/0,D/-/-/-,100,11.0,67,140,1000,N/A,N/A,Yes,No
Twin Dragon Greatshield,Greatshields,Regular,106/0/0/0/0,84/59/63/66/59,0/0/0,16/0/0/0,D/-/-/-,100,7.0,63,105,350,N/A,N/A,Yes,Yes
Stone Greatshield,Greatshields,Regular,115/0/0/0/0,100/75/71/71/75,0/0/0,38/0/0/0,D/-/-/-,100,18.0,67,170,300,N/A,N/A,Yes,Yes
Havel's Greatshield,Greatshields,Unique,143/0/0/0/0,100/83/83/82/83,0/0/0,40/0/0/0,D/-/-/-,100,28.0,75,270,500,N/A,N/A,Yes,No
Moaning Shield,Greatshields,Unique,136/0/0/0/0,100/81/69/76/67,0/0/0,50/0/0/0,D/-/-/-,100,21.5,77,205,1000,N/A,N/A,Yes,No
Lothric Knight Greatshield,Greatshields,Regular,111/0/0/0/0,100/83/66/54/63,0/0/0,36/0/0/0,D/-/-/-,100,15.0,64,140,350,N/A,N/A,Yes,Yes
Dragonslayer Greatshield,Greatshields,Boss,134/0/0/0/0,100/71/70/95/77,0/0/0,38/0/0/0,D/-/-/-,100,26.0,74,190,1000,N/A,N/A,Yes,No
Greatshield of Glory,Greatshields,Unique,134/0/0/0/0,100/70/65/52/63,0/0/0,40/0/0/0,D/-/-/-,100,18.5,80,190,100,N/A,N/A,Yes,No
Curse Ward Greatshield,Greatshields,Boss,125/0/0/0/0,100/75/69/63/75,0/0/0,34/0/0/0,D/-/-/-,100,17.0,66,150,100,N/A,N/A,Yes,No
Bonewheel Shield,Greatshields,Regular,111/0/0/0/0,100/63/59/54/63,0/0/0,30/10/0/0,D/-/-/-,100,15,59,115,90,N/A,N/A,Yes,Yes
Black Iron Greatshield,Greatshields,Regular,112/0/0/0/0,100/69/83/53/69,0/0/0,32/0/0/0,D/-/-/-,100,14.5,64,150,500,N/A,N/A,Yes,Yes
Ancient Dragon Greatshield,Greatshields,Unique,87/0/0/0/0,77/45/43/46/45,0/0/0,16/0/0/0,D/-/-/-,100,6.5,54,105,300,N/A,N/A,Yes,No
Warrior's Round Shield,Small Shields,Regular,74/0/0/0/0,62/68/45/46/36,0/0/0,10/0/0/0,E/-/-/-,100,1.5,41,55,100,N/A,N/A,Yes,Yes
Shield of Want,Normal Shields,Boss,104/0/0/0/0,100/61/63/43/61,0/0/0,18/0/0/0,D/-/-/-,100,5.5,58,110,500,N/A,N/A,Yes,No
Large Leather Shield,Normal Shields,Regular,78/0/0/0/0,85/54/56/58/48,0/0/0,8/0/0/0,D/-/-/-,100,3.5,51,75,100,N/A,N/A,Yes,Yes
Kite Shield,Normal Shields,Regular,80/0/0/0/0,100/50/52/33/50,0/0/0,12/0/0/0,D/-/-/-,100,4.5,47,80,100,N/A,N/A,Yes,Yes
Wargod Wooden Shield,Normal Shields,Regular,88/0/0/0/0,84/47/69/64/67,0/0/0,12/0/0/0,D/-/-/-,100,4.0,57,70,200,N/A,N/A,Yes,Yes
Stone Parma,Normal Shields,Regular,94/0/0/0/0,100/58/52/53/57,0/0/0,17/0/0/0,D/-/-/-,100,7.0,57,70,100,N/A,N/A,Yes,Yes
Spirit Tree Crest Shield,Normal Shields,Unique,95/0/0/0/0,100/67/56/83/53,0/0/0,14/0/0/0,D/-/-/-,100,5.0,49,90,100,N/A,N/A,Yes,No
Spiked Shield,Normal Shields,Regular,86/0/0/0/0,91/49/51/32/56,0/30/0,12/12/0/0,D/-/-/-,100,3.5,48,75,210,N/A,N/A,Yes,Yes
Spider Shield,Normal Shields,Regular,88/0/0/0/0,80/52/47/29/46,0/0/0,10/0/0/0,D/-/-/-,100,3.5,56,75,150,N/A,N/A,Yes,Yes
Pontiff Knight Shield,Normal Shields,Unique,63/0/0/0/0,73/79/69/69/72,0/0/0,8/12/0/0,D/-/-/-,100,3.5,42,65,300,N/A,N/A,Yes,No
Pierce Shield,Normal Shields,Regular,87/0/0/0/0,93/62/50/31/48,0/0/0,10/0/0/0,D/-/-/-,100,3.5,53,90,10,N/A,N/A,Yes,Yes
Silver Knight Shield,Normal Shields,Unique,98/0/0/0/0,100/60/54/48/52,0/0/0,16/0/0/0,D/-/-/-,100,6.5,55,100,500,N/A,N/A,Yes,No
Silver Eagle Kite Shield,Normal Shields,Regular,88/0/0/0/0,100/44/45/33/43,0/0/0,11/0/0/0,D/-/-/-,100,5.0,45,60,170,N/A,N/A,Yes,Yes
Porcine Shield,Normal Shields,Regular,85/0/0/0/0,74/43/38/27/36,0/0/0,8/0/0/0,D/-/-/-,100,4.5,48,70,35,N/A,N/A,Yes,Yes
Carthus Shield,Normal Shields,Regular,56/0/0/0/0,65/45/21/56/52,0/0/0,8/0/0/0,D/-/-/-,100,2.5,45,80,130,N/A,N/A,Yes,Yes
Sunlight Shield,Normal Shields,Regular,82/0/0/0/0,100/54/49/44/47,0/0/0,12/0/0/0,D/-/-/-,100,5.5,49,80,500,N/A,N/A,Yes,Yes
Wooden Shield,Normal Shields,Regular,78/0/0/0/0,57/66/48/44/39,0/0/0,8/0/0/0,D/-/-/-,100,2.5,53,70,50,N/A,N/A,Yes,Yes
Sunset Shield,Normal Shields,Regular,82/0/0/0/0,100/60/55/55/26,0/0/0,12/0/0/0,D/-/-/-,100,5.0,49,80,100,N/A,N/A,Yes,Yes
Knight Shield,Normal Shields,Regular,79/0/0/0/0,100/51/46/34/44,0/0/0,13/0/0/0,D/-/-/-,100,4.5,48,65,120,N/A,N/A,Yes,Yes
Grass Crest Shield,Normal Shields,Unique,92/0/0/0/0,89/43/38/33/36,0/0/0,10/0/0/0,D/-/-/-,100,4.5,50,75,500,N/A,N/A,Yes,No
Hawkwood's Shield,Small Shields,Regular,72/0/0/0/0,56/35/58/45/55,0/0/0,5/0/0/0,E/-/-/-,100,2.0,41,60,100,N/A,N/A,Yes,Yes
Golden Wing Crest Shield,Normal Shields,Unique,102/0/0/0/0,100/75/50/57/47,0/0/0,14/0/0/0,D/-/-/-,100,5.5,50,100,250,N/A,N/A,Yes,No
East-West Shield,Normal Shields,Regular,76/0/0/0/0,55/70/53/56/46,0/0/0,8/0/0/0,D/-/-/-,100,2.0,45,50,100,N/A,N/A,Yes,Yes
Dragon Crest Shield,Normal Shields,Unique,95/0/0/0/0,100/67/89/43/53,0/0/0,14/0/0/0,D/-/-/-,100,5.0,49,90,500,N/A,N/A,Yes,No
Crest Shield,Normal Shields,Unique,95/0/0/0/0,100/67/56/43/86,0/0/0,14/0/0/0,D/-/-/-,100,5.0,49,90,300,N/A,N/A,Yes,No
Blue Wooden Shield,Normal Shields,Regular,77/0/0/0/0,56/70/54/56/39,0/0/0,8/0/0/0,D/-/-/-,100,2.5,50,65,75,N/A,N/A,Yes,Yes
Black Knight Shield,Normal Shields,Unique,113/0/0/0/0,100/65/85/52/63,0/0/0,18/0/0/0,D/-/-/-,100,7.5,60,130,500,N/A,N/A,Yes,No
Yorshka's Chime,Chimes,Spell Tool,54/0/0/0/0,25/15/10/20/15,0/0/0,3/0/0/30,D/-/-/A,100,0.5,10,60,100,247,N/A,No,No
Saint-tree Bellvine,Chimes,Spell Tool,52/0/0/0/0,25/15/10/15/15,0/0/0,3/0/0/18,E/-/-/C,100,0.5,10,45,100,198,N/A,No,No
Priest's Chime,Chimes,Spell Tool,52/0/0/0/0,25/15/10/15/15,0/0/0,3/0/0/10,E/-/-/B,100,0.5,10,45,300,224,N/A,No,No
Crystal Chime,Chimes,Unique,73/0/0/0/0,25/20/10/15/15,0/0/0,3/0/18/18,E/-/D/D,100,0.5,10,40,500,227,N/A,No,No
Cleric's Sacred Chime,Chimes,Spell Tool,52/0/0/0/0,25/15/10/15/15,0/0/0,3/0/0/14,D/-/-/A,100,0.5,10,50,100,232,N/A,No,No
Caitha's Chime,Chimes,Unique,74/0/0/0/0,25/15/10/15/20,0/0/0,3/0/12/12,E/-/C/B,100,0.5,10,45,500,312,N/A,No,No
White Hair Talisman,Talismans,Unique,73/0/79/0/0,25/15/15/15/15,0/0/0,4/0/16/20,E/-/D/D,100,0.5,10,45,500,200,N/A,No,No
Talisman,Talismans,Spell Tool,52/0/0/0/0,25/15/10/15/15,0/0/0,4/0/0/10,E/-/-/B,100,0.5,10,50,100,226,N/A,No,No
Sunlight Talisman,Talismans,Spell Tool,53/0/0/0/0,25/15/10/15/15,0/0/0,4/0/0/14,D/-/-/B,100,0.5,10,65,100,203,N/A,No,No
Sunless Talisman,Talismans,Unique,74/0/0/0/0,25/15/10/15/15,0/0/0,4/0/0/24,E/-/C/B,100,0.5,10,50,500,307,N/A,No,No
Saint's Talisman,Talismans,Spell Tool,53/0/0/0/0,25/15/10/15/15,0/0/0,4/0/0/16,D/-/-/A,100,0.5,10,65,300,242,N/A,No,No
Canvas Talisman,Talismans,Spell Tool,52/0/0/0/0,25/15/10/15/15,0/0/0,4/0/0/14,D/-/-/B,100,0.5,10,55,100,220,N/A,No,No
Storyteller's Staff,Staves,Spell Tool,60/0/0/0/0,25/25/10/10/15,0/0/0,6/0/12/0,E/-/B/-,100,2.5,10,45,50,218,N/A,No,No
Sorcerer's Staff,Staves,Spell Tool,60/0/0/0/0,25/20/10/10/15,0/0/0,6/0/10/0,E/-/B/-,100,2.0,10,50,100,226,N/A,No,No
Sage's Crystal Staff,Staves,Boss,84/0/0/0/0,25/25/10/10/15,0/0/0,7/0/24/0,E/-/B/-,100,2.5,10,50,1000,207,N/A,No,No
Man-grub's Staff,Staves,Unique,90/0/0/0/0,30/25/10/10/15,0/0/0,9/0/18/0,D/-/-/-,100,3.0,15,65,250,100,N/A,No,No
Izalith Staff,Staves,Unique,120/0/0/0/0,30/25/20/20/20,0/0/0,12/0/14/10,D/D/B/C,100,3.0,15,55,500,270,N/A,No,No
Heretic's Staff,Staves,Spell Tool,63/0/0/0/0,30/25/10/10/20,0/0/0,8/0/16/0,D/-/B/-,100,3.0,15,55,500,220,N/A,No,No
Court Sorcerer's Staff,Staves,Spell Tool,60/0/0/0/0,25/20/10/10/15,0/0/0,6/0/14/0,E/-/A/-,100,2.0,10,45,800,238,N/A,No,No
Pyromancy Flame,Pyromancy Flames,Spell Tool,0/0/100/0/0,-/-/-/-/-,0/0/0,0/0/0/0,-/-/C/C,100,0.0,-,50,100,221,N/A,No,No
Ghru Rotshield,Small Shields,Regular,78/0/0/0/0,62/43/39/34/37,36/0/0,5/0/0/0,E/-/-/-,100,1.5,44,55,5,N/A,N/A,Yes,Yes
Red and White Round Shield,Small Shields,Regular,69/0/0/0/0,52/58/46/36/32,0/0/0,10/0/0/0,E/-/-/-,100,1.5,39,55,70,N/A,N/A,Yes,Yes
Target Shield,Small Shields,Regular,69/0/0/0/0,61/36/31/12/29,0/0/0,8/11/0/0,E/-/-/-,100,2.0,36,40,150,N/A,N/A,Yes,Yes
Small Leather Shield,Small Shields,Regular,70/0/0/0/0,42/42/50/38/35,0/0/0,7/0/0/0,E/-/-/-,100,2.0,35,55,100,N/A,N/A,Yes,Yes
Sacred Bloom Shield,Small Shields,Unique,82/0/0/0/0,54/81/49/44/47,0/0/0,10/0/0/0,D/-/-/-,100,1.5,38,85,150,N/A,N/A,Yes,Yes
Round Shield,Normal Shields,Regular,79/0/0/0/0,86/68/50/45/41,0/0/0,8/0/0/0,D/-/-/-,100,3.5,51,80,100,N/A,N/A,Yes,Yes
Plank Shield,Small Shields,Regular,53/0/0/0/0,41/24/27/23/25,0/0/0,8/0/0/0,E/-/-/-,100,1.0,34,40,2,N/A,N/A,Yes,Yes
Llewellyn Shield,Small Shields,Regular,76/0/0/0/0,68/69/63/44/61,0/0/0,12/0/0/0,D/-/-/-,100,3.0,45,70,100,N/A,N/A,Yes,Yes
Leather Shield,Small Shields,Regular,69/0/0/0/0,52/38/40/42/32,0/0/0,7/0/0/0,E/-/-/-,100,1.5,36,55,80,N/A,N/A,Yes,Yes
Iron Round Shield,Small Shields,Regular,71/0/0/0/0,67/44/38/19/36,0/0/0,5/0/0/0,E/-/-/-,100,2.0,47,55,30,N/A,N/A,Yes,Yes
Golden Falcon Shield,Small Shields,Regular,74/0/0/0/0,59/45/39/20/37,0/0/0,10/0/0/0,D/-/-/-,100,2.5,48,85,250,N/A,N/A,Yes,Yes
Elkhorn Round Shield,Small Shields,Regular,69/0/0/0/0,59/63/33/36/25,0/0/0,8/0/0/0,E/-/-/-,100,1.5,39,55,100,N/A,N/A,Yes,Yes
Eastern Iron Shield,Small Shields,Regular,81/0/0/0/0,85/40/41/22/39,0/0/0,8/0/0/0,D/-/-/-,100,3.0,48,100,300,N/A,N/A,Yes,Yes
Crimson Parma,Small Shields,Regular,69/0/0/0/0,52/63/40/36/39,0/0/0,7/0/0/0,E/-/-/-,100,1.5,39,55,100,N/A,N/A,Yes,Yes
Caduceus Round Shield,Small Shields,Regular,69/0/0/0/0,52/63/46/36/25,0/0/0,10/0/0/0,E/-/-/-,100,1.5,39,55,65,N/A,N/A,Yes,Yes
Crescent Moon Sword,Curved Swords,Boss,78/78/0/0/0,40/30/25/25/30,0/0/0,10/16/0/0,-/C/D/-,100,2.5,25,70,1000,N/A,N/A,No,No
Mail Breaker,Daggers,Regular,89/0/0/0/0,35/20/15/15/20,0/0/0,7/12/0/0,E/D/-/-,125,1.5,15,50,100,N/A,N/A,Yes,Yes
Buckler,Small Shields,Regular,67/0/0/0/0,49/35/30/11/28,0/0/0,7/13/0/0,E/-/-/-,100,1.5,33,30,300,N/A,N/A,Yes,Yes
Claymore,Greatswords,Regular,138/0/0/0/0,50/35/30/30/35,0/0/0,16/13/0/0,D/D/-/-,100,9.0,35,75,100,N/A,N/A,Yes,Yes
Drakeblood Greatsword,Greatswords,Regular,89/71/0/71/0,50/35/30/30/35,0/0/0,18/16/0/0,D/D/-/-,100,6.5,35,75,100,N/A,N/A,Yes,Yes
Executioner's Greatsword,Greatswords,Regular,134/0/0/0/0,50/35/30/30/35,0/0/0,19/13/0/0,C/E/-/-,100,9.0,40,85,100,N/A,N/A,Yes,No
Firelink Greatsword,Greatswords,Boss,128/0/89/0/0,55/35/40/30/35,0/0/0,20/10/10/10,D/D/-/-,100,9.0,40,105,2000,N/A,N/A,No,No
Flamberge,Greatswords,Regular,158/0/0/0/0,50/35/30/30/35,0/36/0,15/14/0/0,D/D/-/-,100,8.5,35,70,300,N/A,N/A,Yes,Yes
Greatsword of Judgment,Greatswords,Boss,110/86/0/0/0,50/35/30/30/35,0/0/0,17/15/12/0,D/D/C/-,100,9.0,40,85,1000,N/A,N/A,No,No
Hollowslayer Greatsword,Greatswords,Boss,145/0/0/0/0,50/35/30/30/35,0/0/0,14/18/0/0,D/C/-/-,100,8.5,35,70,100,N/A,N/A,No,No
Moonlight Greatsword,Greatswords,Boss,69/130/0/0/0,55/60/35/35/40,0/0/0,16/11/26/0,E/-/C/-,100,10.5,40,75,2000,N/A,N/A,No,No
Storm Ruler,Greatswords,Boss,154/0/0/0/0,50/35/30/30/35,0/0/0,0/0/0/0,D/D/-/-,100,8.0,35,10,N/A,N/A,N/A,No,No
Twin Princes' Greatsword,Greatswords,Boss,126/0/83/0/0,55/35/30/30/35,0/0/0,22/14/0/0,D/D/D/D,100,9.5,40,95,2000,N/A,N/A,No,No
Wolf Knight's Greatsword,Greatswords,Boss,139/0/0/0/0,55/40/35/35/40,0/0/0,24/18/0/0,C/D/-/-,100,11.5,40,95,1000,N/A,N/A,No,No
Wolnir's Holy Sword,Greatswords,Boss,151/0/0/0/0,45/35/30/30/45,0/0/0,13/13/0/13,D/E/-/D,100,7.5,30,70,1000,N/A,N/A,No,No
Bastard Sword,Greatswords,Regular,138/0/0/0/0,50/35/30/30/35,0/0/0,16/10/0/0,D/D/-/-,100,8.0,35,75,300,N/A,N/A,Yes,Yes
Black Knight Sword,Greatswords,Unique,173/0/0/0/0,55/40/40/35/40,0/0/0,20/18/0/0,D/D/-/-,100,10.0,40,100,500,N/A,N/A,No,No
Black Knight Glaive,Halberds,Unique,159/0/0/0/0,40/25/30/20/25,0/0/0,28/18/0/0,D/D/-/-,100,9.0,25,115,500,N/A,N/A,No,No
Glaive,Halberds,Regular,141/0/0/0/0,45/30/25/25/30,0/0/0,17/11/0/0,D/E/-/-,100,11.0,25,95,100,N/A,N/A,Yes,Yes
Crescent Axe,Halberds,Regular,119/0/0/0/0,40/25/20/20/25,0/0/0,14/12/0/0,D/D/-/-,100,6.0,20,75,300,N/A,N/A,Yes,Yes
Gundyr's Halberd,Halberds,Boss,145/0/0/0/0,45/30/25/25/30,0/0/0,30/15/0/0,C/E/-/-,100,13.0,25,500,1000,N/A,N/A,No,No
Halberd,Halberds,Regular,125/0/0/0/0,40/25/20/20/25,0/0/0,16/12/0/0,D/D/-/-,100,8.0,20,75,100,N/A,N/A,Yes,Yes
Immolation Tinder,Halberds,Unique,118/0/75/0/0,40/25/20/20/25,0/0/0,18/18/12/12,D/D/B/-,100,10.0,25,85,200,220,N/A,No,No
Lucerne,Halberds,Regular,126/0/0/0/0,40/25/20/20/25,0/0/0,15/13/0/0,D/D/-/-,100,7.5,20,75,100,N/A,N/A,Yes,Yes
Red Hilted Halberd,Halberds,Regular,130/0/0/0/0,40/25/20/20/25,0/0/0,14/14/0/0,D/D/-/-,100,8.0,20,80,100,N/A,N/A,Yes,Yes
Winged Knight Halberd,Halberds,Regular,145/0/0/0/0,50/30/25/25/30,0/0/0,26/16/0/0,D/E/-/-,100,14.0,25,145,300,N/A,N/A,Yes,Yes
Blacksmith Hammer,Hammers,Regular,105/0/0/0/0,45/30/25/25/30,0/0/0,13/13/0/0,C/-/-/-,100,5.0,30,95,500,N/A,N/A,Yes,Yes
Warpick,Hammers,Regular,113/0/0/0/0,45/30/25/25/30,0/0/0,12/10/0/0,C/E/-/-,100,4.5,30,70,100,N/A,N/A,Yes,Yes
Reinforced Club,Hammers,Regular,110/0/0/0/0,45/30/30/30/30,0/30/0,12/0/0/0,C/-/-/-,100,4.0,30,45,70,N/A,N/A,Yes,Yes
Morning Star,Hammers,Regular,122/0/0/0/0,45/30/25/25/30,0/30/0,11/9/0/0,D/E/-/-,100,5.0,30,75,100,N/A,N/A,Yes,Yes
Mace,Hammers,Regular,115/0/0/0/0,45/30/25/25/30,0/0/0,12/7/0/0,C/E/-/-,100,5.0,30,80,100,N/A,N/A,Yes,Yes
Heysel Pick,Hammers,Unique,93/70/0/0/0,50/30/25/25/30,0/0/0,12/10/19/0,D/E/B/-,100,4.5,35,70,1500,208,N/A,No,No
Drang Hammers,Hammers,Regular,110/0/0/0/0,45/30/25/25/30,0/0/0,18/16/0/0,C/E/-/-,100,9.0,30,80,350,N/A,N/A,Yes,Yes
Club,Hammers,Regular,108/0/0/0/0,40/25/35/30/25,0/0/0,10/0/0/0,C/-/-/-,100,2.5,30,90,50,N/A,N/A,Yes,Yes
